no,page,jap,eng,small
0,tenki,雨雲,Nowcasts,あまぐも
1,tenki,雷,Thunder,かみなり
2,tenki,台風,Typhoon,たいふう
3,tenki,地点登録,Point registration,とうろく
4,tenki,天気,Weather,てんき
5,tenki,地震,Earthquake,じしん
6,tenki,火山,Volcano,かざん
7,tenki,警報,Alert,けいほう
0,kikikuru,土砂災害,Landslide risk,
1,kikikuru,浸水害,Inundation risk,
2,kikikuru,洪水害,Flood risk,
3,kikikuru,雨雲,Nowcasts,
0,sonae,非常用品,Emergency supplies,
1,sonae,大雨時の行動,Behavior during heavy rain,
2,sonae,警戒レベル,Vigilance level,
3,sonae,避難所,Shelter,
4,sonae,ハザードマップ,Hazard map,
5,sonae,避難所の保存,Saving evacuation sites,
6,sonae,ハザードマップの保存,Save hazard map,
7,sonae,浸水深さ,Inundation depth,
0,kikikuru1,雨雲と重ねるキキクルを選んでください,choose the kikikuru map which overlap with clouds map,
1,kikikuru1,雨雲viewの透過度,transparency of clouds view,
2,kikikuru1,折りたたむ,close,
3,kikikuru1,コントローラーの表示,display controller,
25,shinsui,現在地住所,current address,
26,shinsui,現在地の標高,current elevation,
27,shinsui,現在地の最大想定浸水深さ,estimated inundation depth of current location,
0,mochi,懐中電灯,flashlight,
1,mochi,モバイルバッテリー,mobile battery,
2,mochi,予備の電池,spare battery,
3,mochi,ラジオ,radio,
4,mochi,貴重品,Valuables,
5,mochi,衣類・下着,clothing/underwear,
6,mochi,保存食,preserved food,
7,mochi,ライター,lighter,
8,mochi,防寒グッズ,cold weather goods,
9,mochi,救急用品,first aid supplies,
10,mochi,携帯電話,cell phone,
11,mochi,衛生用品,hygiene products,
12,mochi,筆記用具,writing utensil,
13,mochi,赤ちゃんに必要なもの,baby needs,
14,mochi,犬に必要なもの,dog needs,
15,mochi,大きな地震が起きると家具や家電が倒れてきたり、ガラスが割れて床に飛び散ったりします。このような地震が夜にくると部屋が真っ暗で避難するのも大変です。そんなときに懐中電灯があると辺りを照らすことができるので、危ないものを避けて避難することができます。,When a big earthquake occurs、 furniture and home appliances fall over、 and glass breaks and scatters on the floor. When an earthquake like this comes at night、 it's hard to evacuate because the room is pitch black. then、with a flashlight、 you can illuminate the area、 so you can avoid dangerous things and evacuate.,
16,mochi,情報収集したり家族の安否を確認したりするためには、スマホは必需品です。しかし、災害時に停電が起こるとスマホの充電ができなくなります。そのために、モバイルバッテリーがあると停電中でも心の余裕を持つことができます。,Smartphones are essential items for collecting information and checking the safety of family members. but if a power outage occurs during a disaster、 you will not be able to charge your smartphone.  so with a mobile battery、 you can have peace of mind even during a power outage.,
17,mochi,ライトやラジオも電池がないと使うことができません。予備があれば電池の減りなど気にせず使えることができ、安心します。乾電池は液漏れ防止のものを選びましょう。,Lights and radios cannot be used without batteries. If you have a spare、 you can use it without worrying about the battery running out、 so you can rest assured. Choose batteries that do not leak.,
18,mochi,停電時や災害の際、テレビが見れなくなったり、ネットが繋がらなかったり、情報を得たとしてもそれがデマ情報だった場合もあります。スマホと違って消費電力が少なく、被災した地域をメインに情報を伝えることができます。,In the event of a power outage or disaster、 you may not be able to watch TV or connect to the Internet、 or even if you get information、 it may be false information. Unlike smartphones、 it consumes less power and can mainly receive information about the affected areas.,
19,mochi,・現金（硬貨）,cash (coin),
20,mochi,・通帳,passbook,
21,mochi,・身分証明書・各種カード,Identification、 various cards,
22,mochi,・印鑑,signature stamp,
23,mochi,・家や車の予備鍵,spare house or car key,
24,mochi,停電時にはキャッシュカードが使えない可能性があるので、現金を用意しておきましょう。小銭を多めにしておくと、固定電話やスマホを使えないときに公衆電話を使うときなどに便利です。また、免許証や保険証といった身分証明書があると、被災後のさまざまな届出をする際にスムーズにことが運びます。,"Cash cards may not work during power outages、 so be prepared with cash.It is convenient to have enough coins in order to use public phone when you cannot use a landline phone or a smartphone.also if you have an identification card such as a driver's license or insurance card、 things will go smoothly when making various notifications after a disaster.",
25,mochi,雨の時に、災害がおこると服が濡れてしまい風邪をひくかもしれません。コンパクトにまとまるダウンジャケット、ダウンパンツなど暖かく軽量のものがおすすめです。できる限り替えの服もいれておくといいです。,"When it rains、 if a disaster happens、 your clothes will get wet and you may catch a cold.Warm and lightweight items such as down jackets and down pants that can be put together compactly are recommended. It's good to bring a change of clothes as much as possible.",
26,mochi,・缶詰・乾パン,canned food、 dried bread,
27,mochi,・飲料水,drinking water,
28,mochi,・アルファ米,alpha rice,
29,mochi,・チョコレート,chocolate,
30,mochi,自宅が倒壊した場合は避難所での生活を送ることになります。救援物資が届くまで最短でも3日かかると想定しましょう。,If your house collapses、 you will have to live in an evacuation center. please assume that it will take at least three days for relief supplies to arrive.,
